Tabelle: 12531-0024
Schutzsuchende: Bundesländer, Stichtag, Geschlecht,;;;;;;;;;;;;;;;;
Familienstand, Ländergruppierungen/Staatsangehörigkeit;;;;;;;;;;;;;;;;
Statistik über Schutzsuchende;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Schutzsuchende (Anzahl);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;männlich;;;;;;;;;;;;;;;;weiblich;;;;;;;;;;;;;;;
;ledig;;verheiratet;;verwitwet;;geschieden;;Lebenspartnerschaft;;Lebenspartnerschaft aufgehoben;;Lebenspartner verstorben;;unbekannt;;ledig;;verheiratet;;verwitwet;;geschieden;;Lebenspartnerschaft;;Lebenspartnerschaft aufgehoben;;Lebenspartner verstorben;;unbekannt;
31.12.2014;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Baden-Württemberg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Afghanistan;1450;e;615;e;15;e;25;e;-;;-;;-;;110;e;455;e;485;e;90;e;20;e;-;;-;;-;;45;e
Eritrea;780;e;250;e;-;;20;e;-;;-;;-;;40;e;195;e;130;e;15;e;20;e;-;;-;;-;;20;e
Irak;2960;e;1475;e;20;e;70;e;-;;-;;-;;240;e;1285;e;1155;e;130;e;55;e;-;;-;;-;;150;e
Iran, Islamische Republik;925;e;535;e;10;e;115;e;-;;-;;-;;80;e;315;e;455;e;45;e;95;e;-;;-;;-;;45;e
Syrien;2525;e;1255;e;15;e;35;e;-;;-;;-;;290;e;1200;e;990;e;105;e;35;e;-;;-;;-;;180;e
Bayern;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Afghanistan;4445;e;1750;e;40;e;55;e;-;;-;;-;;205;e;1190;e;1310;e;200;e;45;e;-;;-;;-;;40;e
Eritrea;1635;e;435;e;5;e;20;e;-;;-;;-;;60;e;395;e;215;e;25;e;15;e;-;;-;;-;;20;e
Irak;5910;e;3240;e;55;e;140;e;-;;-;;-;;185;e;2430;e;2145;e;210;e;95;e;-;;-;;-;;75;e
Iran, Islamische Republik;825;e;430;e;10;e;115;e;-;;-;;-;;45;e;255;e;325;e;20;e;80;e;-;;-;;-;;20;e
Syrien;3560;e;1745;e;20;e;45;e;-;;-;;-;;245;e;1285;e;1055;e;85;e;30;e;-;;-;;-;;135;e
Berlin;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Afghanistan;735;e;340;e;5;e;5;e;-;;-;;-;;110;e;310;e;325;e;40;e;10;e;-;;-;;-;;45;e
Eritrea;85;e;30;e;-;;-;;-;;-;;-;;35;e;30;e;15;e;-;;-;;-;;-;;-;;10;e
Irak;455;e;285;e;10;e;25;e;-;;-;;-;;75;e;210;e;220;e;30;e;15;e;-;;-;;-;;60;e
Iran, Islamische Republik;675;e;360;e;10;e;75;e;-;;-;;-;;120;e;285;e;290;e;40;e;80;e;-;;-;;-;;55;e
Syrien;1270;e;805;e;10;e;20;e;-;;-;;-;;265;e;535;e;525;e;60;e;30;e;-;;-;;-;;105;e
Brandenburg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Afghanistan;390;e;210;e;5;e;-;;-;;-;;-;;35;e;185;e;190;e;25;e;-;;-;;-;;-;;5;e
Eritrea;260;e;130;e;-;;5;e;-;;-;;-;;5;e;50;e;25;e;-;;-;;-;;-;;-;;5;e
Irak;120;e;40;e;-;;-;;-;;-;;-;;15;e;65;e;45;e;5;e;-;;-;;-;;-;;10;e
