Tabelle: 82111-0010
VGR der Länder (Entstehungsrechnung) - Bruttoinlandsprodukt;;;;;;;;;;;;;;;;
zu Marktpreisen (nominal): Bundesländer, Jahre;;;;;;;;;;;;;;;;
VGR der Länder: Entstehungsrechnung;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Bruttoinlandsprodukt zu Marktpreisen i.jew.Preisen (Mill. EUR);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Jahr;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;2010;;2011;;2012;;2013;;2014;;2015;;2016;;2017;;2018;;2019;;2020;;2021;;2022;;2023;;2024;;2025;
Baden-Württemberg;389836;e;412687;e;421261;e;432248;e;448847;e;468551;e;483024;e;505904;e;525939;e;535570;e;516322;e;554564;e;600810;p;642158;p;652024;p;667105;p
Bayern;459400;e;491192;e;504080;e;520193;e;541963;e;564916;e;587375;e;615577;e;629956;e;651766;e;635045;e;674486;e;730124;p;782396;p;796174;p;824243;p
Berlin;105252;e;110672;e;112480;e;116189;e;122337;e;129506;e;136465;e;144495;e;152315;e;159938;e;159512;e;170252;e;185847;p;199752;p;208449;p;218288;p
Brandenburg;57389;e;59386;e;61069;e;62363;e;65700;e;66828;e;68774;e;72193;e;74114;e;77299;e;76241;e;81186;e;90672;p;98112;p;101369;p;104100;p
Bremen;26961;e;27838;e;29077;e;29491;e;30463;e;31077;e;31882;e;32854;e;33473;e;33524;e;32581;e;35815;e;39045;p;40118;p;41267;p;43011;p
Hamburg;97153;e;98814;e;101456;e;106006;e;108245;e;113047;e;115161;e;121686;e;125024;e;130414;e;124609;e;138737;e;158344;p;154634;p;162844;p;168300;p
Hessen;232069;e;243166;e;243930;e;249986;e;260622;e;268115;e;278758;e;288368;e;294732;e;303350;e;294382;e;314014;e;335932;p;358888;p;371368;p;382411;p
Mecklenburg-Vorpommern;35349;e;36839;e;37209;e;38254;e;40026;e;40747;e;41729;e;45031;e;45342;e;48254;e;47253;e;50162;e;56284;p;59190;p;60845;p;63585;p
Niedersachsen;230304;e;243739;e;249522;e;252456;e;263759;e;266436;e;285936;e;292660;e;304334;e;314819;e;306837;e;321848;e;347618;p;369757;p;385212;p;399397;p
Nordrhein-Westfalen;565081;e;588524;e;594499;e;605845;e;630618;e;651169;e;665569;e;694883;e;717539;e;732421;e;717751;e;760078;e;813532;p;858785;p;879843;p;909411;p
Rheinland-Pfalz;114822;e;119420;e;122514;e;125510;e;130755;e;135549;e;139448;e;142159;e;145108;e;149744;e;147076;e;167174;e;176971;p;177006;p;180812;p;185270;p
Saarland;30743;e;32466;e;32622;e;32254;e;33783;e;34624;e;35022;e;36399;e;36832;e;36995;e;35481;e;37052;e;40187;p;42802;p;42177;p;43174;p
Sachsen;96613;e;101042;e;102902;e;105628;e;110647;e;115339;e;119089;e;124032;e;127552;e;132533;e;129411;e;136029;e;148490;p;158306;p;162991;p;167973;p
Sachsen-Anhalt;51867;e;52927;e;55128;e;55581;e;56743;e;57653;e;59177;e;61430;e;62460;e;65371;e;64307;e;67707;e;74322;p;78188;p;79514;p;81755;p
Schleswig-Holstein;73610;e;76568;e;79288;e;80292;e;83048;e;85171;e;87750;e;93262;e;96082;e;100401;e;100004;e;106474;e;119076;p;122470;p;126334;p;131247;p
Thüringen;48811;e;51630;e;52244;e;54183;e;56915;e;58305;e;60051;e;62176;e;63230;e;64880;e;63907;e;66762;e;72136;p;76747;p;77748;p;80639;p
__________
"Quelle:
Arbeitskreis ""Volkswirtschaftliche Gesamtrechnungen der
Länder"".

Berechnungsstand: August 2025"
© Statistisches Bundesamt (Destatis), 2026
Stand: 20.05.2026 / 21:48:17
