Tabelle: 13211-0007
Arbeitslose, Arbeitslosenquoten, Gemeldete Arbeitsstellen:;;;;;;;;;;;;;;;;;
Bundesländer, Jahre;;;;;;;;;;;;;;;;;
Arbeitsmarktstatistik der Bundesagentur für Arbeit;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;Jahr;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;2010;;2011;;2012;;2013;;2014;;2015;;2016;;2017;;2018;;2019;;2020;;2021;;2022;;2023;;2024;;2025;
Arbeitslose;Anzahl;75486;e;72448;e;70434;e;71560;e;73663;e;73291;e;70666;e;69248;e;65589;e;64774;e;80677;e;80395;e;73800;e;80806;e;88471;e;93783;e
Arbeitslosenquote aller zivilen Erwerbspersonen;Prozent;8,2;e;7,8;e;7,5;e;7,4;e;7,6;e;7,4;e;7,1;e;6,8;e;6,3;e;6,1;e;7,6;e;7,5;e;6,8;e;7,4;e;8,0;e;8,3;e
Arbeitslosenquote d. abhängigen ziv. Erwerbspers.;Prozent;9,5;e;9,0;e;8,6;e;8,6;e;8,7;e;8,5;e;8,1;e;7,7;e;7,2;e;7,0;e;8,5;e;8,3;e;7,6;e;8,2;e;8,8;e;9,2;e
Gemeldete Arbeitsstellen;Anzahl;14031;e;15329;e;16134;e;14127;e;14027;e;15197;e;15663;e;16614;e;17757;e;16067;e;9985;e;11056;e;12789;e;11336;e;13802;e;15181;e
Hessen;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Arbeitslose;Anzahl;197982;e;182583;e;178329;e;185612;e;184378;e;177944;e;172826;e;166287;e;154337;e;149812;e;184955;e;178086;e;164492;e;181344;e;194912;e;205944;e
Arbeitslosenquote aller zivilen Erwerbspersonen;Prozent;6,4;e;5,9;e;5,7;e;5,8;e;5,7;e;5,5;e;5,3;e;5,0;e;4,6;e;4,4;e;5,4;e;5,2;e;4,8;e;5,2;e;5,5;e;5,8;e
Arbeitslosenquote d. abhängigen ziv. Erwerbspers.;Prozent;7,2;e;6,6;e;6,4;e;6,6;e;6,5;e;6,1;e;5,9;e;5,6;e;5,1;e;4,9;e;6,0;e;5,7;e;5,2;e;5,7;e;6,1;e;6,3;e
Gemeldete Arbeitsstellen;Anzahl;30685;e;37964;e;35542;e;32338;e;35734;e;42549;e;48688;e;52282;e;55691;e;54618;e;41943;e;45798;e;53282;e;48520;e;47992;e;44533;e
Mecklenburg-Vorpommern;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Arbeitslose;Anzahl;109865;e;107543;e;101893;e;98952;e;93067;e;86095;e;80389;e;70982;e;64993;e;58485;e;63850;e;62410;e;59571;e;63191;e;64944;e;65605;e
Arbeitslosenquote aller zivilen Erwerbspersonen;Prozent;12,7;e;12,5;e;12,0;e;11,7;e;11,2;e;10,4;e;9,7;e;8,6;e;7,9;e;7,1;e;7,8;e;7,6;e;7,3;e;7,7;e;7,9;e;8,0;e
